brand,perfume,launch_year,main_accords,notes
Carthusia,Acqua di Carthusia Zagara,2014,"white floral, citrus, fresh spicy, amber, woody","orange blossom, jasmine, cashmere wood, white amber, lemon, mandarin orange, bitter orange, ginger"
Ex Idolo,Thirty three,2013,"rose, oud, patchouli, floral, fresh spicy, metallic","white tea, rose, taif rose, iris, metallic notes, agarwood (oud), patchouli, heliotrope, black pepper, mandarin orange, caoutchouc"
Mariella Burani,Bouquet d Amour Vitale,2002,"fruity, floral, musky, sweet, green, woody","jasmine, hyacinth, rose, lily-of-the-valley, musk, sandalwood, dried fruits, ambrette (musk mallow), peach, black currant, granny smith apple, plum, melon, pear"
Shulton Company,CIE by Jacqueline Cochran,1976,"woody, green, floral, warm spicy, earthy","carnation, bulgarian rose, ylang-ylang, orris, jasmine, lily-of-the-valley, sandalwood, patchouli, incense, cedar, oakmoss, vetiver, musk, vanila, green notes, aldehydes, citruses, raspberry"
Bi es,Kiss of Love,0,"floral, citrus, rose, woody, powdery, warm spicy","rose, cyclamen, vanilla, sandalwood, cedar, bergamot, orange, cardamom"
Burberry,Burberry Summer for Men,2007,"aromatic, green, fresh spicy, sweet, musky","pineapple, tonka bean, musk, mint, caraway, cedar"
Essenzialmente Laura,Indaco,0,"woody, citrus, balsamic, powdery, fresh spicy","sandalwood, bergamot"
Nabeel,Jannet El Baqui,0,"warm spicy, woody, balsamic, aromatic, powdery, aldehydic","bourbon geranium, rose, ylang-ylang, violet, saffron, tonka bean, patchouli leaf , sandalwood, papyrus, white musk, lemon, aldehydes, spicy notes"
Boucheron,Boucheron Homme Eau de Toilette Fraicheur 2008,2008,"aromatic, citrus, woody, fresh spicy, herbal","juniper, ylang-ylang, iris, rose, sage, geranium, sandalwood, vetiver, oakmoss, amber, benzoin, lemon verbena, orange, basil, coriander, bergamot"
Bath and Body Works,Watermelon Lemonade,2016,"citrus, ozonic, aquatic, sweet, floral","watermelon, poppy, lily-of-the-valley, musk, cedar, sugar, green mandarin, iced lemon"
Issey Miyake,A Scent by Issey Miyake Eau de Parfum Florale,2010,"floral, white floral, yellow floral, green, fresh","jasmine, ylang-ylang, galbanum, peony"
Avon,Urban Flowers Roma,2008,"fruity, rose, soft spicy, floral, woody","orange blossom, rose, magnolia, musk, sandalwood, vanilla, black currant, freesia, grapefruit"
Pecksniff s,Cashmere,2010,"woody, citrus, fresh spicy, musky, amber, fruity","black pepper, cassis, plum, jasmine, rose, amber, vanilla, musk, woody notes, cashmere wood, bergamot, orange, mimosa"
Snap Perfume,Snap 88 For Her,2014,"citrus, woody, balsamic, powdery, floral, aromatic","african violet, jasmine, osmanthus, tonka bean, musk, sandalwood, cedar, blood orange, lemon, yuzu"
Opus Oils,Afraid of the Dark Charlie No 5,0,"amber, musky, balsamic, animalic, vanilla, patchouli","musk, amber, labdanum, vanilla, patchouli, ambergris"
Sonia Rykiel,Belle en Rykiel Eau de Toillete,2006,"citrus, floral, fresh spicy, aromatic, green","orange blossom, lavender, lily-of-the-valley, rose, amber, patchouli, musk, incense, green apple, grapefruit, yuzu, bergamot, tangerine, lemon"
Fernanda Brandao,Joyful,2016,"citrus, sweet, fruity, white floral, woody, vanilla","jasmine, orange blossom, raspberry, patchouli, musk, vanilla, cedar, mandarin orange, bergamot, pear"
Jesus Del Pozo,In Black,2006,"sweet, fruity, soft spicy, powdery, vanilla","violet, peach, egyptian jasmine, lilac, lily, musk, patchouli, moroccan cedar, madagascar vanilla, licorice, sour cherry, pink grapefruit, rose"
Dueto Parfums,Lady Cool,2012,"citrus, sweet, rose, musky, fruity","orange blossom, rose, musk, sandalwood, tonka bean, vanilla, citron, pear, cardamom"
Marc Joseph,In Paris,0,"citrus, fruity, aromatic, sweet, floral, rose","rose petals, violet leaf, magnolia, geranium, patchouli, musk, palisander rosewood, vanilla, mandarin orange, sweet orange, cassis, raspberry"
Hilde Soliani,Una Tira l Altra,2014,"cherry, sweet, almond, fruity, nutty",cherry
Severnoye Siyanie,Chernoe Domino,1970,"patchouli, woody, earthy, white floral, aromatic","patchouli, jasmine, vetiver"
Roberto Capucci,Filly,1983,"green, woody, rose, floral, aldehydic","carnation, jasmine, hyacinth, ylang-ylang, rose, orchid, vetyver, musk, sandalwood, oak moss, amber, civetta, neroli, bergamot, aldehydes, green notes, peach"
Le Prince Jardinier,Ciel Mon Jardin,0,"sweet, caramel, green, sour, vanilla, fruity","rose, jasmine, hyacinth, patchouli, vetiver, cedar, caramel, vanilla, bergamot, rhuburb, green notes, melon"
Jequiti,Royal Madeira Absoluto,2015,"citrus, aromatic, fresh spicy, woody, powdery, sweet","violet, pear, lavender, sage, oakmoss, cedar, sandalwood, tonka bean, amber, bergamot, yuzu, nutmeg, pomelo"
Calvin Klein,Sheer Beauty Essence,2013,"floral, fresh, rose, fruity, musky","lilac, magnolia, turkish rose, peony, musk, vanilla, cedar, pear blossom, white peach"
Fleurage,Wood Vanilla,0,"vanilla, woody, powdery, sweet, soft spicy","woody notes, vanilla"
Clive Christian,Rock Rose,2016,"aromatic, fresh spicy, floral, citrus, woody","lavender, violet, rock rose, clary sage, cacao, patchouli, amber, vetiver, bergamot, black pepper, neroli"
Davidoff,Hot Water Night,2012,"fresh spicy, oud, woody, rose, amber","rose, cedar, agarwood (oud), amber, juniper berries, black pepper"
Pierre Balmain,Ivoire de Balmain,1979,"woody, floral, aromatic, balsamic, fresh spicy, herbal","nutmeg, carnation, cinnamon, narcissus, pepper, orris root, jasmine, turkish rose, neroli, ylang-ylang, lily-of-the-valley, iris, raspberry, sandalwood, tonka bean, amber, patchouli, musk, vanilla, oakmoss, vetiver, incense, labdanum, aldehydes, chamomile, asafoetida, mandarin orange, violet, artemisia, marigold, bergamot, lemon, galbanum"
Evody Parfums,Ambre Intense,2008,"balsamic, amber, fresh spicy, warm spicy, woody","sandalwood, patchouli, incense, opoponax, amber, bay leaf"
Vero Profumo,kiki,2007,"aromatic, fresh spicy, floral, sweet, citrus","lavender, geranium, musk, patchouli, opoponax, amber, caramel, bergamot, citron, black currant, passionfruit"
Lamis Atef,Maliq,2015,"floral, rose, fresh, musky, aquatic, woody","lotus, rose, peony, woody notes, musk"
Adolfo Dominguez,Agua de Bambu,2011,"floral, woody, citrus, aquatic, ozonic","lotus, jasmine, freesia, cedar, musk, yuzu, lotus, bamboo"
Severnoye Siyanie,Kapitanskiy,0,"citrus, white floral, aromatic, green, balsamic","geranium, galbanum, iris, jasmine, gardenia, petitgrain, orange, lemon, patchouli, tobacco, styrax, aldehydes"
La Fleur by Livvy,Fleur de Mystere,2013,"woody, powdery, balsamic, fresh spicy, warm spicy","sandalwood, ylang-ylang, vanilla, geranium, rose, bergamot, peach, patchouli"
Jean Patou,Ma Liberte,1987,"fresh spicy, aromatic, warm spicy, woody, floral","lavender, jasmine, cloves, rose, nutmeg, sandalwood, patchouli, cinnamon, musk, vanilla, vetiver, cedar, lemon, heliotrope"
Bud Parfums,Autumn,0,"sweet, cacao, vanilla, caramel, fruity","vanille, mexican chocolate, caramel, big strawberry"
Johan B,Beaute d Orient,0,"fruity, sweet, floral, woody, powdery","floral notes, peach, sandalwood, cedar, amber, musk, vanilla, pineapple, pepper"
Nautica,Nautica Sunset Voyage,2008,"floral, aquatic, fresh spicy, ozonic, green","freesia, lotus"
Belinda Brown,Blessings Purple,0,"citrus, aromatic, white floral, woody, rose, vanilla","jasmine, rose de mai, tonka bean, vanilla, cedar, bergamot, lemon, mandarin orange"
CFFC Fragrances,Mystery Secret,0,"sweet, fruity, floral, citrus, powdery","honey, apricot, blackberry, plum, orchid, peach, jasmine, lily-of-the-valley, red berries, rose, tonka bean, amber, patchouli, musk, vanilla, dark chocolate, caramel, melon, coconut, black currant, mandarin orange, bergamot, jasmine, cotton candy"
Givenchy,Play For Her Eau de Toilette,2013,"sweet, fruity, soft spicy, woody, powdery, musky","amyris, licorice, white iris, musk, peach, white currant"
Charles Revson,Cerissa,1974,"woody, floral, warm spicy, earthy, mossy, amber","floral notes, oakmoss, woody notes, oriental notes"
Orlane,Derrick Pour Elle,0,"white floral, powdery, floral, citrus, vanilla, fruity","orange blossom, peach, jasmine, white musk, vanilla, heliotrope, orange, violet, black currant"
Le Jardin Retrouve,Rose Trocad ro,0,"rose, musky, green, woody, aromatic","bulgarian rose, cloves, woodsy notes, musk, green notes, cassis"
M Micallef,Les 4 Saisons White Sea,2007,"aromatic, fresh spicy, floral, powdery, citrus, patchouli","geranium, patchouli, musk, iris, amber, lavender, rosemary, bergamot, amalfi lemon"
Diesel,Fuel for Life Denim Collection Femme,2011,"sweet, woody, white floral, amber, fruity","jasmine, woodsy notes, amber, raspberry"
Tom Ford,White Patchouli,2008,"patchouli, white floral, balsamic, warm spicy, floral, rose","rose, jasmine, ambrette (musk mallow), patchouli, incense, woody notes, bergamot, peony, coriander, white flowers"
Benetton,Cold Silver,2012,"aromatic, citrus, fresh spicy, woody, herbal, warm spicy","cardamom, sage, driftwood, moss, amber, musk, yuzu, coriander, ginger"
Tauer Perfumes,05 Incense Extreme,2007,"woody, balsamic, smoky, aromatic, powdery, warm spicy","incense, orris root, amber, cedar, woody notes, coriander, petitgrain"
Louis Vuitton,Apog e,2016,"floral, woody, rose, white floral, green","jasmine, lily-of-the-valley, magnolia, rose, guaiac wood, sandalwood, white musk, orange, tangerine"
Montale,Nepal Aoud,2014,"oud, leather, amber, fresh spicy, animalic, musky","bulgarian rose, amber, madagascar vanilla, white musk, leather, agarwood (oud), saffron, nutmeg"
Jeanne Arthes,Lover Sweet Juice,2011,"fruity, sweet, musky, white floral, rose","jasmine, violet, musk, tonka bean, rose, peach, pear"
Sfumato,Siren Song,2016,"balsamic, warm spicy, fresh spicy, floral, aromatic, citrus","peru balsam, benzoin, bergamot, black pepper, cloves, coffee, coriander, incense, nutmeg, rose, palisander rosewood, magnolia"
Class,Endure,2015,"sweet, fruity, soft spicy, musky, vanilla","jasmine, black currant, pink pepper, musk, vanilla, raspberry"
Tova Beverly Hills,Tova Signature Lavender Essence,2009,"aromatic, fresh spicy, floral, white floral, citrus","lavender, jasmine, musk, sandalwood, amber, bergamot, aldehydes"
Daniel Josier,Bois d Lris,0,"powdery, woody, floral, balsamic, amber, vanilla","iris, patchouli, sandalwood, amber, musk, vetiver, vanilla, tobacco, incense, sage, pine tree, nutmeg, bergamot"
Victoria s Secret,Romantic Wish,2000,"floral, ozonic, aquatic, green, fresh spicy","freesia, cucumber, floral notes"
Rasasi,Jaish,0,"woody, aromatic, citrus, fresh spicy, warm spicy, balsamic","jasmine, geranium, rose, musk, sandalwood, patchouli, virginia cedar, lavender, bergamot, amalfi lemon, clary sage, woodsy notes"
Zara,Brigitte,2011,nan,nan
Calvin Klein,Crave,2002,"fresh spicy, aromatic, woody, citrus, marine, fresh","basil, coriander, pimento, nutmeg, sandalwood, tonka bean, musk, oakmoss, vetiver, birch, starfish, bergamot"
Morgane le Fay,Yellow,2008,"floral, citrus, musky, fresh, green","jasmine, peony, lotus, musk, iris, oakmoss, bergamot, hyacinth, amalfi lemon"
Jivago,WhiIte Gold,0,"woody, aromatic, green, citrus, fresh spicy","geranium, cedar, mint, patchouli, musk, vetiver, lemon, lime, eucalyptus, spicy mint"
Avon,Beguiling Breathless,1987,"balsamic, fresh spicy, smoky, woody, aromatic, yellow floral","jasmine, coriander, basil, incense, myrrh, oakmoss, bergamot, aldehydes, ylang-ylang"
Abercrombie Fitch,A F Summer,2015,"aromatic, herbal, soft spicy, woody, earthy","sage, moss, white pepper"
Gucci,Gucci Bamboo Eau de Toilette,2016,"white floral, citrus, sweet, yellow floral, animalic, fresh spicy","casablanca lily, ylang-ylang, jasmine, ambergris, sandalwood, tahitian vanilla, white musk, sicilian bergamot, italian mandarin , pear, orange blossom"
Sanae Intoxicants,Burning Ocean,2010,"musky, soft spicy, amber, aromatic, cinnamon","clary sage, pink pepper, cinnamon, neroli, massoia, ambrette (musk mallow)"
Police,Pure Police London Femme,2009,"floral, green, fruity, fresh, sweet, aquatic","green notes, freesia, jasmine, musk, sandalwood, virginia cedar, amalfi lemon, peach, violet leaf, pear, apple blossom"
Vera Wang,Embrace Rose Buds and Vanilla,2015,"rose, vanilla, floral, powdery, musky, woody","cyclamen, iris, magnolia, musk, vanilla, sandalwood, rose, mandarin orange, damask rose"
Cereus,Cereus No 11,2007,"woody, fresh spicy, musky, soft spicy, aromatic","juniper berries, musk, woodsy notes, anise, pepper"
Roja Dove,Britannia,2016,"powdery, floral, citrus, woody, vanilla","rose de mai, jasmine, champaca, heliotrope, cassia, violet, peach, cinnamon, cloves, patchouli, vetiver, sandalwood, vanilla, cacao, musk, orris root, ambergris, citron, bergamot, mandarin orange, tangerine"
Shulton Company,Old Spice Hawkridge,2013,nan,nan
Guerlain,Shalimar Eau de Parfum 2009,2009,"powdery, citrus, vanilla, floral, fresh spicy, woody","jasmine, iris, rose, vanilla, bergamot"
Nova,Pop Palette,2014,nan,nan
Western Valley Avenue London,Signature IV,0,"aromatic, woody, fresh spicy, balsamic, warm spicy, citrus","cardamon, geranium, jasmine, juniper, lavender, lily-of-the-valley, rose, rosemary, sage, violet, ylang-ylang, amber, benzoin, cedar, cinnamon, labdanum, elemi, fir, leather, oakmoss, musk, patchouli, sandalwood, tonka bean, vanilla, vetiver, bergamot, cassis, grapefruit, apple, mandarin orange, neroli, nutmeg, pink pepper"
Blood Concept,RED MA,2012,nan,nan
CB I Hate Perfume,Tea Rose,2005,"rose, green, ozonic, fresh, floral","tea, rose"
Neil Morris,Clear,0,"floral, citrus, sweet, green, fresh spicy, aromatic","resin, mint, cedar, musk, grapefruit, lime (linden) blossom"
Adopt by Reserve Naturelle,Barbe Papa,0,"aromatic, vanilla, sweet, balsamic, musky, fruity","vanilla, musk, tonka bean, big strawberry"
DL Co,Lady Rhubarb,2008,"citrus, fruity, sweet, woody, sour","blood orange, mandarin orange, grapefruit, sandalwood, rhuburb"
Il Profvmo,Musc Bleu Absolu,0,"woody, floral, fresh spicy, musky, yellow floral, aromatic","geranium, ylang-ylang, floral notes, sandalwood, woody notes, oakmoss, musk, neroli"
Lush,Rose Jam,2012,"rose, aromatic, citrus, balsamic, fresh spicy","rose, geranium, lemon, tonka bean"
Tokyo Milk Parfumarie Curiosite,La Vie La Mort,2011,"white floral, tuberose, warm spicy, animalic, floral","jasmine, tuberose, cardamom, hibiscus"
O Boticario,Make B Urban Ballet,2016,"woody, floral, rose, caramel, powdery","tulip, rose, lily, cedar, cashmeran, caramel, vetiver, peach, floral notes, cardamom"
Antonio Puig,Brummel,1975,"woody, citrus, warm spicy, green, fresh","woody notes, spicy notes, floral notes, green notes, citruses"
Tous,Tous Kids Boy,2012,"green, fresh, sweet, citrus, aquatic, floral","candy apple, grass, water notes, licorice, musk, neroli, mandarin orange, clover"
Shiseido,Zen Sun,2013,"citrus, fruity, sweet, floral, tropical","gardenia, blue rose, lotus, lily-of-the-valley, cherry blossom, amber, raspberry, sandalwood, bergamot, grapefruit, peach, black currant, citron, lemon, mango"
Demeter Fragrance,Amber,0,"amber, animalic, balsamic, powdery, marine",amber
Grasse Au Parfum,No 15 Mysterieuse,0,"citrus, amber, white floral, fresh spicy, animalic","jasmine, amber, orange, bergamot"
Strellson,D Strict,2011,"fresh spicy, warm spicy, balsamic, patchouli, aromatic, woody","lavender, saffron, incense, mint, patchouli, virginia cedar, vanille, ginger, pepper"
Sarahs Creations,Budoor,0,nan,nan
Roberto Vizzari,Vizzari Belle,0,"white floral, citrus, powdery, sweet, floral, woody","iris, jasmine, peach, patchouli, amber, praline, cashmere wood, citruses, orange blossom, pink pepper"
Kitson,Vanilla Angel,2011,"sweet, musky, vanilla, soft spicy, white floral","vanilla, jasmine, mimosa, vanilla, sugar, musk, vanilla, anise"
Zippo Fragrances,Zippo Into The Blue,2012,"citrus, fruity, floral, white floral, woody, sweet","jasmine, lotus, cyclamen, plum, woodsy notes, musk, vanilla, bergamot, mandarin orange, red apple, green notes"
Tulip,Redwood Forest Oil,2014,"woody, green, musky, floral, fresh spicy","herbal notes, musk, hyacinth, woody notes"
Neil Morris,Takashimaya,2008,"floral, woody, citrus, green, aldehydic","cherry blossom, bamboo, orchid, narcissus, plum blossom, japanese green tea, cedar, oak, tonka bean, orris root, agarwood (oud), black currant, mandarin orange, bergamot, aldehydes"
Novaya Zarya,Landysh Serebristiy,0,"floral, white floral, green, citrus, soapy","lily-of-the-valley, jasmine, honeysuckle, oakmoss, sandalwood, plum, bergamot, peach, pear"
Johan B,Elegance,0,"citrus, fruity, floral, sweet, powdery","magnolia, violet, orange blossom, musk, amber, bergamot, tangerine, peach, pear"
Cont m 1g,Meu Despertar,2014,"floral, powdery, woody, amber, sweet, fruity","orchid, violet, amber, pomegranate, lotus"
Atkinsons,English Lavender,1799,"aromatic, fresh spicy, woody, floral, earthy","clary sage, musk, oak moss, tonka bean, lavender, rosemary, bergamot"
Mariah Carey,M,2007,"balsamic, white floral, sweet, smoky, powdery, warm spicy","gardenia, tiare flower, amber, patchouli, incense, marshmallow, sea water"
